detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip,cut1,measure1,measure2,measure3
./diamond-details/LD13994441,0.3,14-Aug,17-Aug,$266 ,,$887 ,LD13994441,LD13994441,RD,Round,SI2,G,None,63,Faint,1.01,Good,Very Good,62,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2356504121/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-2356504121/1/,FALSE,,0.9286666,FALSE,FALSE,,4.21,4.18,2.64
./diamond-details/LD13893395,0.3,6-Aug,7-Aug,$267 ,$282 ,$890 ,LD13893395,LD13893395,RD,Round,SI2,F,None,61.4,None,1,Excellent,Excellent,61,FALSE,,,FALSE,,0.8775812,FALSE,FALSE,,4.3,4.28,2.63
./diamond-details/LD13893377,0.31,6-Aug,7-Aug,$269 ,,$868 ,LD13893377,LD13893377,RD,Round,SI2,E,None,60,None,1,Excellent,Excellent,60,FALSE,,,FALSE,,0.8497391,FALSE,FALSE,,4.42,4.4,2.65
./diamond-details/LD13885977,0.32,6-Aug,7-Aug,$270 ,,$844 ,LD13885977,LD13885977,RD,Round,SI1,I,None,60,Faint,1,Excellent,Excellent,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6271481150/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6271481150/1/,FALSE,,0.9258098,FALSE,FALSE,,4.44,4.43,2.66
./diamond-details/LD05642297,0.24,14-Aug,17-Aug,$271 ,,"$1,129 ",LD05642297,LD05642297,RD,Round,VS2,K,None,60.9,None,1,Very Good,Very Good,56,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1169402652/still_230x230.jpg,https://bluenile.v360.in/63/imaged/gia-1169402652/1/,FALSE,,0.9811741,FALSE,FALSE,,4.04,4.03,2.46
./diamond-details/LD13701038,0.24,14-Aug,17-Aug,$271 ,,"$1,129 ",LD13701038,LD13701038,RD,Round,SI1,F,None,66.1,None,1,Good,Good,61,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2347973863/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-2347973863/1/,FALSE,,0.91382277,FALSE,FALSE,,3.8,3.81,2.52
./diamond-details/LD13701047,0.23,14-Aug,17-Aug,$271 ,,"$1,178 ",LD13701047,LD13701047,RD,Round,SI1,F,None,63.3,None,1.01,Excellent,Very Good,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6342972738/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-6342972738/1/,FALSE,,0.92843634,FALSE,FALSE,,3.82,3.84,2.43
./diamond-details/LD13701068,0.24,14-Aug,17-Aug,$271 ,,"$1,129 ",LD13701068,LD13701068,RD,Round,SI2,E,None,63.2,None,1.01,Very Good,Good,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7342981841/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-7342981841/1/,FALSE,,0.92118764,FALSE,FALSE,,3.9,3.94,2.48
./diamond-details/LD13701069,0.23,14-Aug,17-Aug,$271 ,,"$1,178 ",LD13701069,LD13701069,RD,Round,SI1,E,None,64.6,None,1,Very Good,Good,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1345981873/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-1345981873/1/,FALSE,,0.9068769,FALSE,FALSE,,3.82,3.83,2.47
./diamond-details/LD13903751,0.3,6-Aug,7-Aug,$271 ,,$903 ,LD13903751,LD13903751,RD,Round,SI1,K,None,60,Medium,1,Excellent,Excellent,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6341456892/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6341456892/1/,FALSE,,0.92261255,FALSE,FALSE,,4.39,4.4,2.64
./diamond-details/LD13887869,0.32,6-Aug,7-Aug,$272 ,,$850 ,LD13887869,LD13887869,RD,Round,SI2,H,None,61.9,None,1.01,Excellent,Excellent,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2297452952/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2297452952/1/,FALSE,,0.9193507,FALSE,FALSE,,4.38,4.35,2.7
./diamond-details/LD13919328,0.3,14-Aug,17-Aug,$272 ,,$907 ,LD13919328,LD13919328,RD,Round,SI1,K,None,62.5,None,1.01,Excellent,Excellent,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2205956548/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2205956548/1/,FALSE,,0.9467206,FALSE,FALSE,,4.24,4.27,2.66
./diamond-details/LD13885885,0.33,6-Aug,7-Aug,$273 ,,$827 ,LD13885885,LD13885885,RD,Round,SI1,I,None,62.5,None,1,Very Good,Excellent,56,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1186363177/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1186363177/1/,FALSE,,0.9265267,FALSE,FALSE,,4.41,4.39,2.75
./diamond-details/LD13886117,0.31,6-Aug,7-Aug,$273 ,,$881 ,LD13886117,LD13886117,RD,Round,SI1,I,None,61.8,None,1.01,Excellent,Excellent,56,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2254439960/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2254439960/1/,FALSE,,0.9019779,FALSE,FALSE,,4.35,4.32,2.68
./diamond-details/LD13886118,0.31,6-Aug,7-Aug,$273 ,,$881 ,LD13886118,LD13886118,RD,Round,SI1,I,None,61.7,None,1.01,Excellent,Excellent,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6183348016/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6183348016/1/,FALSE,,0.89888865,FALSE,FALSE,,4.38,4.34,2.69
./diamond-details/LD13903604,0.3,6-Aug,7-Aug,$273 ,,$910 ,LD13903604,LD13903604,RD,Round,SI2,J,None,63.4,Faint,1,Very Good,Excellent,57,FALSE,,,FALSE,,0.9137754,FALSE,FALSE,,4.2,4.22,2.67
./diamond-details/LD13351949,0.23,14-Aug,17-Aug,$274 ,,"$1,191 ",LD13351949,LD13351949,RD,Round,VS1,H,None,59.6,None,1,Very Good,Excellent,62,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2346321573/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-2346321573/1/,FALSE,,0.9524585,FALSE,FALSE,,4.03,4.02,2.4
./diamond-details/LD13895808,0.33,6-Aug,7-Aug,$274 ,,$830 ,LD13895808,LD13895808,RD,Round,SI2,J,None,63,None,1.01,Excellent,Excellent,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1318098437/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1318098437/1/,FALSE,,0.92885154,FALSE,FALSE,,4.44,4.4,2.79
./diamond-details/LD13974053,0.3,11-Aug,12-Aug,$274 ,,$913 ,LD13974053,LD13974053,RD,Round,SI2,K,None,60.5,Faint,1,Very Good,Very Good,56,FALSE,,,FALSE,,0.8257197,FALSE,FALSE,,4.37,4.35,2.64
./diamond-details/LD12146336,0.31,14-Aug,17-Aug,$275 ,,$887 ,LD12146336,LD12146336,RD,Round,SI1,I,None,62,Faint,1,Excellent,Excellent,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5286282111/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5286282111/1/,FALSE,,0.8914126,FALSE,FALSE,,4.35,4.33,2.69
./diamond-details/LD13108672,0.31,14-Aug,17-Aug,$275 ,,$887 ,LD13108672,LD13108672,RD,Round,SI1,F,None,65.3,None,1,Very Good,Very Good,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1333903285/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1333903285/1/,FALSE,,0.9151534,FALSE,FALSE,,4.17,4.15,2.72
./diamond-details/LD13701045,0.24,14-Aug,17-Aug,$275 ,,"$1,146 ",LD13701045,LD13701045,RD,Round,SI2,F,None,61.8,None,1.01,Good,Very Good,63,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1343972853/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-1343972853/1/,FALSE,,0.9147236,FALSE,FALSE,,3.92,3.95,2.43
./diamond-details/LD13701055,0.24,14-Aug,17-Aug,$275 ,,"$1,146 ",LD13701055,LD13701055,RD,Round,SI2,F,None,64.1,None,1.01,Very Good,Very Good,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3345972710/still_230x230.jpg?v=2,https://bluenile.v360.in/2/imaged/gia-3345972710/2/,FALSE,,0.9147236,FALSE,FALSE,,3.92,3.95,2.52
./diamond-details/LD13885884,0.33,6-Aug,7-Aug,$275 ,,$833 ,LD13885884,LD13885884,RD,Round,SI1,I,None,62.4,Faint,1.01,Excellent,Excellent,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1298237138/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1298237138/1/,FALSE,,0.9177862,FALSE,FALSE,,4.45,4.42,2.77
./diamond-details/LD13951610,0.3,14-Aug,17-Aug,$275 ,,$917 ,LD13951610,LD13951610,RD,Round,SI1,I,None,64.6,Medium,1.01,Excellent,Very Good,62,FALSE,,,FALSE,,0.85063213,FALSE,FALSE,,4.16,4.13,2.68
./diamond-details/LD13701050,0.26,14-Aug,17-Aug,$276 ,,"$1,062 ",LD13701050,LD13701050,RD,Round,SI2,H,None,64.8,Faint,1,Very Good,Good,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1348972633/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-1348972633/1/,FALSE,,0.8843208,FALSE,FALSE,,3.97,3.98,2.58
./diamond-details/LD13701057,0.24,14-Aug,17-Aug,$276 ,,"$1,150 ",LD13701057,LD13701057,RD,Round,SI2,F,None,61.4,None,1.01,Very Good,Good,59,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7348972599/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-7348972599/1/,FALSE,,0.87688434,FALSE,FALSE,,3.95,4,2.44
./diamond-details/LD13701072,0.24,14-Aug,17-Aug,$276 ,,"$1,150 ",LD13701072,LD13701072,RD,Round,SI2,E,None,63.4,None,1.01,Very Good,Good,55,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7342973499/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-7342973499/1/,FALSE,,0.8694741,FALSE,FALSE,,3.95,3.98,2.51
./diamond-details/LD13865636,0.3,14-Aug,17-Aug,$276 ,,$920 ,LD13865636,LD13865636,RD,Round,VS1,J,None,61,Faint,1,Very Good,Very Good,60,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6351165064/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-6351165064/1/,FALSE,,0.919735,FALSE,FALSE,,4.3,4.29,2.62
./diamond-details/LD11975555,0.23,14-Aug,17-Aug,$277 ,,"$1,204 ",LD11975555,LD11975555,RD,Round,SI2,D,None,64.1,None,1,Very Good,Good,59,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7316886577/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-7316886577/1/,FALSE,,0.9303165,FALSE,FALSE,,3.83,3.84,2.46
./diamond-details/LD13701046,0.23,14-Aug,17-Aug,$277 ,,"$1,204 ",LD13701046,LD13701046,RD,Round,SI2,G,None,63.8,Faint,1.01,Very Good,Very Good,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6345973442/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-6345973442/1/,FALSE,,0.9304915,FALSE,FALSE,,3.82,3.86,2.45
./diamond-details/LD13919384,0.31,14-Aug,17-Aug,$277 ,,$894 ,LD13919384,LD13919384,RD,Round,SI1,K,None,62,Strong,1,Very Good,Excellent,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2205979652/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2205979652/1/,FALSE,,0.8930542,FALSE,FALSE,,4.33,4.34,2.69
./diamond-details/LD12744307,0.3,14-Aug,17-Aug,$278 ,,$927 ,LD12744307,LD12744307,RD,Round,VS1,K,None,62.3,Faint,1,Excellent,Very Good,60,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6291695966/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6291695966/1/,FALSE,,0.9449987,FALSE,FALSE,,4.22,4.21,2.62
./diamond-details/LD13705277,0.31,6-Aug,7-Aug,$278 ,,$897 ,LD13705277,LD13705277,RD,Round,SI2,K,None,62.5,Faint,1.01,Excellent,Excellent,56,FALSE,,,FALSE,,0.8139838,FALSE,FALSE,,4.33,4.3,2.7
./diamond-details/LD13833255,0.32,6-Aug,7-Aug,$278 ,,$869 ,LD13833255,LD13833255,RD,Round,SI2,F,None,62.3,None,1.01,Very Good,Excellent,58,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5283460230/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5283460230/1/,FALSE,,0.89816207,FALSE,FALSE,,4.39,4.36,2.73
./diamond-details/LD13893373,0.32,6-Aug,7-Aug,$278 ,,$869 ,LD13893373,LD13893373,RD,Round,SI2,E,None,60.8,None,1.01,Excellent,Excellent,57,FALSE,,,FALSE,,0.85644,FALSE,FALSE,,4.43,4.4,2.68
./diamond-details/LD13973233,0.3,6-Aug,7-Aug,$278 ,,$927 ,LD13973233,LD13973233,RD,Round,SI1,J,None,63.7,None,1,Excellent,Excellent,59,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7346737415/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7346737415/1/,FALSE,,0.92918503,FALSE,FALSE,,4.21,4.23,2.69
./diamond-details/LD13973234,0.3,6-Aug,7-Aug,$278 ,,$927 ,LD13973234,LD13973234,RD,Round,SI1,J,None,64.2,None,1.01,Very Good,Excellent,56,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7346734810/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7346734810/1/,FALSE,,0.9261062,FALSE,FALSE,,4.16,4.2,2.68
./diamond-details/LD10176491,0.24,14-Aug,17-Aug,$279 ,,"$1,162 ",LD10176491,LD10176491,RD,Round,SI1,F,None,63.1,None,1,Very Good,Very Good,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3285548087/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-3285548087/1/,FALSE,,0.903316,FALSE,FALSE,,3.95,3.96,2.49
./diamond-details/LD13266427,0.31,14-Aug,17-Aug,$279 ,,$900 ,LD13266427,LD13266427,RD,Round,SI2,K,None,60.6,None,1,Very Good,Very Good,62,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2344292673/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2344292673/1/,FALSE,,0.88551414,FALSE,FALSE,,4.37,4.35,2.64
./diamond-details/LD13865617,0.3,14-Aug,17-Aug,$279 ,,$930 ,LD13865617,LD13865617,RD,Round,SI1,G,None,60,Faint,1.01,Very Good,Good,66,FALSE,,,FALSE,,0.81925315,FALSE,FALSE,,4.26,4.22,2.54
./diamond-details/LD13970427,0.3,6-Aug,7-Aug,$279 ,,$930 ,LD13970427,LD13970427,RD,Round,SI1,K,None,62.2,Faint,1.01,Excellent,Excellent,56,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6321162596/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6321162596/1/,FALSE,,0.93703717,FALSE,FALSE,,4.3,4.27,2.67
./diamond-details/LD09851483,0.31,14-Aug,17-Aug,$280 ,,$903 ,LD09851483,LD09851483,RD,Round,SI2,H,None,63.5,None,1.01,Very Good,Very Good,59,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6271378196/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-6271378196/1/,FALSE,,0.88925254,FALSE,FALSE,,4.22,4.26,2.69
./diamond-details/LD10033135,0.3,6-Aug,7-Aug,$280 ,,$933 ,LD10033135,LD10033135,RD,Round,SI2,J,None,61.4,None,1,Very Good,Very Good,60,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7278784602/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7278784602/1/,FALSE,,0.9131562,FALSE,FALSE,,4.29,4.27,2.63
./diamond-details/LD13585674,0.23,14-Aug,17-Aug,$280 ,,"$1,217 ",LD13585674,LD13585674,RD,Round,SI2,F,None,59,None,1,Excellent,Excellent,60,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6342971735/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-6342971735/1/,FALSE,,0.9241798,FALSE,FALSE,,4.03,4.01,2.37
./diamond-details/LD13869254,0.3,14-Aug,17-Aug,$280 ,,$933 ,LD13869254,LD13869254,RD,Round,VS1,J,None,60.7,None,1,Excellent,Very Good,61,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2336817758/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-2336817758/1/,FALSE,,0.9281794,FALSE,FALSE,,4.3,4.28,2.6
./diamond-details/LD13893358,0.32,6-Aug,7-Aug,$280 ,,$875 ,LD13893358,LD13893358,RD,Round,SI2,F,None,61.9,None,1,Very Good,Excellent,57,FALSE,,,FALSE,,0.8425508,FALSE,FALSE,,4.42,4.4,2.73
./diamond-details/LD13893388,0.31,6-Aug,7-Aug,$280 ,,$903 ,LD13893388,LD13893388,RD,Round,SI2,F,None,62.6,None,1.01,Excellent,Excellent,57,FALSE,,,FALSE,,0.8218326,FALSE,FALSE,,4.35,4.31,2.71
./diamond-details/LD13919385,0.31,14-Aug,17-Aug,$280 ,,$903 ,LD13919385,LD13919385,RD,Round,SI1,K,None,62.9,Faint,1,Excellent,Excellent,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2205956536/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2205956536/1/,FALSE,,0.83848214,FALSE,FALSE,,4.28,4.3,2.7
./diamond-details/LD13939631,0.23,14-Aug,17-Aug,$280 ,,"$1,217 ",LD13939631,LD13939631,RD,Round,SI1,D,None,59.4,Faint,1,Very Good,Very Good,60,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6351283749/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-6351283749/1/,FALSE,,0.91789275,FALSE,FALSE,,4.04,4.02,2.4
